core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,trait_rate,lift,lift_diff,baseline_rate_per_100k
12,271,0.007710692539691573,seed_even_count,0,23,2150,0.010697674418604652,1.3873817900969707,0.002986981878913079,771.0692539691572
12,271,0.007710692539691573,seed_sum_lastdigit,5,34,3422,0.009935710111046173,1.2885626109329475,0.0022250175713546,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,3,17,1714,0.009918319719953326,1.2863072504704043,0.0022076271802617536,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,1,17,1810,0.009392265193370166,1.218083219506228,0.0016815726536785931,771.0692539691572
12,271,0.007710692539691573,seed_consecutive_pairs,2,58,6272,0.009247448979591837,1.199301999397545,0.001536756439900264,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,5,16,1767,0.009054895302773062,1.1743297059456164,0.0013442027630814896,771.0692539691572
12,271,0.007710692539691573,seed_sum_lastdigit,2,31,3501,0.008854612967723507,1.1483550825225475,0.0011439204280319342,771.0692539691572
12,271,0.007710692539691573,seed_sum_lastdigit,8,30,3478,0.008625646923519264,1.1186604678007677,0.0009149543838276909,771.0692539691572
12,271,0.007710692539691573,seed_prime_count,3,46,5340,0.008614232209737827,1.117180093149246,0.0009035396700462547,771.0692539691572
12,271,0.007710692539691573,seed_prime_count,2,104,12114,0.00858510813934291,1.1134029913850403,0.0008744155996513372,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,4,15,1749,0.008576329331046312,1.1122644674131132,0.0008656367913547399,771.0692539691572
12,271,0.007710692539691573,seed_sum_mod3,0,97,11432,0.008484954513645906,1.10041406397269,0.0007742619739543339,771.0692539691572
12,271,0.007710692539691573,seed_high_count,0,18,2149,0.00837598883201489,1.0862823007010898,0.0006652962923233176,771.0692539691572
12,271,0.007710692539691573,seed_sum_lastdigit,6,29,3489,0.00831183720263686,1.077962473519834,0.0006011446629452868,771.0692539691572
12,271,0.007710692539691573,seed_sum_lastdigit,7,30,3623,0.008280430582390284,1.0738893477811398,0.0005697380426987111,771.0692539691572
12,271,0.007710692539691573,seed_structure,ABCD,147,17772,0.008271438217420662,1.072723127636408,0.0005607456777290895,771.0692539691572
12,271,0.007710692539691573,seed_unique_count,4,147,17772,0.008271438217420662,1.072723127636408,0.0005607456777290895,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,none,147,17772,0.008271438217420662,1.072723127636408,0.0005607456777290895,771.0692539691572
12,271,0.007710692539691573,seed_high_count,2,110,13330,0.008252063015753939,1.0702103570172985,0.000541370476062366,771.0692539691572
12,271,0.007710692539691573,seed_vtrac_unique,3,166,20147,0.008239440115153622,1.0685732925726539,0.0005287475754620491,771.0692539691572
