core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,trait_rate,lift,lift_diff,baseline_rate_per_100k
14,265,0.007539976099698401,seed_sum_band,18-26,116,16140,0.007187112763320942,0.9532010006780295,-0.000352863336377459,753.9976099698401
14,265,0.007539976099698401,seed_sum_lastdigit,0,26,3589,0.007244357759821678,0.9607931993460102,-0.0002956183398767232,753.9976099698401
14,265,0.007539976099698401,seed_structure,AABC,110,15120,0.007275132275132275,0.9648747129879205,-0.00026484382456612617,753.9976099698401
14,265,0.007539976099698401,seed_unique_count,3,110,15120,0.007275132275132275,0.9648747129879205,-0.00026484382456612617,753.9976099698401
14,265,0.007539976099698401,seed_consecutive_pairs,2,46,6272,0.007334183673469388,0.9727064882556797,-0.0002057924262290128,753.9976099698401
14,265,0.007539976099698401,seed_prime_count,2,89,12114,0.007346871388476143,0.9743892144127643,-0.00019310471122225767,753.9976099698401
14,265,0.007539976099698401,seed_mirror_pairs_any,no,138,18783,0.007347069158281425,0.9744154439130527,-0.00019290694141697613,753.9976099698401
14,265,0.007539976099698401,seed_sum_mod3,1,87,11808,0.007367886178861789,0.9771763307255714,-0.0001720899208366121,753.9976099698401
14,265,0.007539976099698401,seed_vtrac_unique,4,50,6778,0.007376807317792859,0.9783595094005578,-0.00016316878190554204,753.9976099698401
14,265,0.007539976099698401,seed_sum_lastdigit,2,26,3501,0.007426449585832619,0.9849433854478236,-0.0001135265138657816,753.9976099698401
14,265,0.007539976099698401,seed_sum_band,10-17,106,14074,0.00753161858746625,0.9988915731135427,-8.357512232151296e-06,753.9976099698401
15,282,0.008023672679679053,seed_repeat_digit,6,8,1714,0.004667444574095682,0.5817092446849887,-0.003356228105583371,802.3672679679054
15,282,0.008023672679679053,seed_repeat_digit,1,9,1810,0.004972375690607734,0.6197131773833313,-0.003051296989071319,802.3672679679054
15,282,0.008023672679679053,seed_high_count,4,12,2153,0.00557361820715281,0.694646757122669,-0.002450054472526243,802.3672679679054
15,282,0.008023672679679053,seed_sum_lastdigit,4,20,3579,0.005588153115395362,0.6964582602612956,-0.0024355195642836915,802.3672679679054
15,282,0.008023672679679053,seed_lead_band,0-3,90,14064,0.0063993174061433445,0.7975546438167163,-0.001624355273535709,802.3672679679054
15,282,0.008023672679679053,seed_sum_band,0-9,16,2452,0.0065252854812398045,0.8132541968923906,-0.0014983871984392489,802.3672679679054
15,282,0.008023672679679053,seed_sum_lastdigit,7,24,3623,0.006624344465912227,0.825600037584933,-0.0013993282137668263,802.3672679679054
15,282,0.008023672679679053,seed_prime_count,0,31,4610,0.006724511930585683,0.8380840294764695,-0.0012991607490933704,802.3672679679054
15,282,0.008023672679679053,seed_unique_count,2,15,2212,0.006781193490054249,0.8451483205725058,-0.001242479189624804,802.3672679679054
15,282,0.008023672679679053,seed_sum_band,27-36,17,2480,0.0068548387096774195,0.8543268130862502,-0.001168833970001634,802.3672679679054
15,282,0.008023672679679053,seed_repeat_digit,0,12,1727,0.006948465547191662,0.8659956387290714,-0.0010752071324873916,802.3672679679054
15,282,0.008023672679679053,seed_sum_mod3,0,80,11432,0.006997900629811057,0.8721567926785085,-0.0010257720498679963,802.3672679679054
15,282,0.008023672679679053,seed_high_count,1,62,8787,0.007055878001593263,0.8793825824255206,-0.0009677946780857908,802.3672679679054
15,282,0.008023672679679053,seed_even_count,3,63,8774,0.007180305447914292,0.8948901250794173,-0.0008433672317647613,802.3672679679054
15,282,0.008023672679679053,seed_even_count,4,16,2213,0.0072300045187528245,0.9010841801988893,-0.0007936681609262289,802.3672679679054
15,282,0.008023672679679053,seed_sum_lastdigit,0,26,3589,0.007244357759821678,0.9028730419386265,-0.0007793149198573757,802.3672679679054
