core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,lift,baseline_rate_per_100k
012,110,0.0013755330190448798,seed_even_count,3,18,20021,0.6536055323728268,137.55330190448797
012,110,0.0013755330190448798,seed_sum_range4_worst,17-20,20,21122,0.6883731740279416,137.55330190448797
012,110,0.0013755330190448798,seed_structure,AAAB,3,2934,0.7433444878230155,137.55330190448797
012,110,0.0013755330190448798,seed_last_in_core,yes,27,24054,0.8160287081339714,137.55330190448797
012,110,0.0013755330190448798,seed_sum_mod2,odd,46,40018,0.8356634968809491,137.55330190448797
012,110,0.0013755330190448798,seed_high_count,1,23,19875,0.8412976558033163,137.55330190448797
012,110,0.0013755330190448798,seed_structure,ABCD,50,40580,0.89575025762803,137.55330190448797
012,110,0.0013755330190448798,seed_high_count,3,25,19954,0.910833553536771,137.55330190448797
012,110,0.0013755330190448798,seed_high_count,2,38,30237,0.91363741592931,137.55330190448797
012,110,0.0013755330190448798,seed_sum_mod3,2,34,26879,0.9195911644440237,137.55330190448797
013,120,0.0015005814753216871,seed_high_count,0,5,4985,0.6684135740554998,150.0581475321687
013,120,0.0015005814753216871,seed_even_count,4,5,4945,0.6738203572632289,150.0581475321687
013,120,0.0015005814753216871,seed_high_count,3,21,19954,0.7013418362233137,150.0581475321687
013,120,0.0015005814753216871,seed_sum_range4_worst,11-14,16,14148,0.7536424465177646,150.0581475321687
013,120,0.0015005814753216871,seed_even_count,1,23,19997,0.7664845560167358,150.0581475321687
013,120,0.0015005814753216871,seed_spread,<=2,5,4317,0.7718419427071269,150.0581475321687
013,120,0.0015005814753216871,overlap_unique,3,2,1676,0.7952366746221162,150.0581475321687
013,120,0.0015005814753216871,seed_sum_mod3,2,35,26879,0.8677514664484045,150.0581475321687
013,120,0.0015005814753216871,seed_sum_mod2,odd,53,40018,0.8825938744231763,150.0581475321687
013,120,0.0015005814753216871,seed_sum_mod3,1,36,26722,0.897788339196168,150.0581475321687
016,120,0.0015005814753216871,seed_structure,AAAB,1,2934,0.2271330379459214,150.0581475321687
016,120,0.0015005814753216871,seed_sum_range4_worst,9-12,10,9962,0.6689503446429768,150.0581475321687
016,120,0.0015005814753216871,seed_even_count,1,22,19997,0.7331591405377474,150.0581475321687
016,120,0.0015005814753216871,overlap_unique,3,2,1712,0.7785144080996884,150.0581475321687
016,120,0.0015005814753216871,seed_sum_mod2,odd,48,40018,0.799330301364386,150.0581475321687
016,120,0.0015005814753216871,seed_even_count,0,6,4934,0.8103871098500204,150.0581475321687
016,120,0.0015005814753216871,seed_high_count,4,6,4918,0.8130235868239121,150.0581475321687
016,120,0.0015005814753216871,seed_even_count,3,26,20021,0.8654221400862427,150.0581475321687
016,120,0.0015005814753216871,seed_spread,3-5,36,27370,0.8765327000365363,150.0581475321687
016,120,0.0015005814753216871,seed_high_count,2,41,30237,0.903619461807278,150.0581475321687
017,109,0.001363028173417199,seed_high_count,0,3,4985,0.4415208929540917,136.3028173417199
017,109,0.001363028173417199,seed_structure,AABB,2,2148,0.6831103821775751,136.3028173417199
017,109,0.001363028173417199,seed_sum_mod3,0,25,26368,0.6955974575799413,136.3028173417199
017,109,0.001363028173417199,seed_sum_range4_worst,24-27,10,10139,0.7236024760417356,136.3028173417199
